,bachelors_2019,bachelors_2018,gdp_2018,msa
0,253563.0,278403.0,463517102.0,26420
1,31589.0,29068.0,15042987.0,26580
2,15145.0,15742.0,25402021.0,26620
3,4543.0,4453.0,6873624.0,26820
4,81782.0,84164.0,123441866.0,26900
5,6691.0,4933.0,4769861.0,27860
6,9950.0,5442.0,7089459.0,27900
7,19825.0,21038.0,9239666.0,27980
8,4311.0,3633.0,5530432.0,27060
9,8415.0,7098.0,5610800.0,27100
10,34813.0,35603.0,24597375.0,27140
11,9415.0,6412.0,7710601.0,27180
12,85443.0,80039.0,73616490.0,27260
13,17472.0,13425.0,8073168.0,27340
14,4113.0,4603.0,6684674.0,27500
15,6579.0,8722.0,7021036.0,27620
16,9621.0,13068.0,6788712.0,27740
17,9529.0,9552.0,4486016.0,27780
18,10302.0,10578.0,6621461.0,10180
19,44843.0,37891.0,43366184.85564304,10380
20,30570.0,28482.0,32864318.0,10420
21,11938.0,10376.0,5461823.0,10500
22,33047.29301075269,2427.0,4548841.0,10540
23,49814.0,56738.0,55124291.0,10580
24,38716.0,32595.0,38477142.0,10740
25,12631.0,12696.0,5534140.0,10780
26,29229.0,30037.0,40543564.0,10900
27,4528.0,5861.0,5489056.0,11020
28,33047.29301075269,11531.0,12631603.0,11100
29,3140.0,32621.49738219895,5837047.0,11180
30,23472.0,22736.0,23080044.0,11260
31,10592.0,8504.0,22224950.0,11460
32,9173.0,9624.0,3955983.0,11500
33,4398.0,3721.0,12891169.0,11540
34,17831.0,19890.0,43366184.85564304,11640
35,40861.0,39031.0,18059998.0,11700
36,5401.0,5831.0,9306104.0,12020
37,175467.0,193722.0,366280393.0,12060
38,26976.0,31427.0,12410061.0,12100
39,6780.0,11036.0,5219694.0,12220
40,50318.0,45188.0,24839850.0,12260
41,64575.0,67356.0,138796267.0,12420
42,30039.0,27256.0,49292395.0,12540
43,106879.0,109917.0,185477090.0,12580
44,12273.0,14379.0,5890326.0,12620
45,68177.0,77658.0,12591850.0,12700
46,16253.0,11090.0,8482294.0,13460
47,66852.0,56539.0,53052638.0,12940
48,7088.0,6965.0,5893153.0,12980
49,10416.0,10787.0,13190934.0,13380
50,7204.0,7841.0,9812265.0,13740
51,14710.0,18120.0,10249212.0,13780
52,61126.0,84908.0,54961671.0,13820
53,7563.0,4442.0,6793978.0,13900
54,9610.0,13461.0,6747291.0,13980
55,3478.0,3876.0,3319686.0,13020
56,30770.0,32920.0,27094016.0,13140
57,8449.0,9051.0,3768527.0,13220
58,7643.0,7141.0,13809567.0,14010
59,10010.0,6753.0,6618976.0,14020
60,4962.0,4089.0,4079567.0,14100
61,13690.0,14996.0,32266330.0,14260
62,130050.0,125618.0,414346347.0,14460
63,8700.0,9170.0,25928673.0,14500
64,11186.0,9648.0,6431811.0,14540
65,7370.0,8321.0,11591481.0,14740
66,34811.0,28846.0,79284819.0,14860
67,24715.0,27562.0,10091715.0,15180
68,14479.0,13949.0,4147572.0,15260
69,6855.0,9509.0,4086120.0,16020
70,9602.0,9201.0,5421936.0,16060
71,33047.29301075269,32621.49738219895,3232270.0,16180
72,4314.0,4941.0,5626913.0,16220
73,6635.0,9025.0,16963563.0,16300
74,5935.0,5965.0,5762282.0,16540
75,12892.0,13600.0,11883657.0,47380
76,1933.0,3489.0,3425600.0,47460
77,8478.0,8014.0,6959115.0,47580
78,9032.0,11017.0,5954367.0,48660
79,8805.0,8945.0,6355190.0,48700
80,23119.0,21974.0,12828556.0,48900
81,18946.0,15384.0,5851168.0,48060
82,9938.0,3461.0,9299963.0,48140
83,7479.0,7118.0,6113014.0,48260
84,11574.0,7393.0,6069900.0,48300
85,13006.0,16363.0,12218102.0,48540
86,28609.0,28731.0,33494536.0,48620
87,10165.0,8270.0,6131093.0,49020
88,33699.0,30378.0,30228237.0,49180
89,24668.0,32900.0,44662471.0,49340
90,5759.0,5809.0,10698626.0,49420
91,10211.0,10922.0,18912943.0,49620
92,28638.0,31820.0,19455070.0,49660
93,3762.0,4983.0,6709322.0,49700
94,20606.0,19039.0,7565775.0,49740
95,13441.0,10283.0,10744785.0,16580
96,20404.0,17552.0,12326275.0,16620
97,41913.0,45095.0,38403896.0,16700
98,101885.0,89032.0,148297645.0,16740
99,10068.0,14538.0,12197403.0,16820
100,28943.0,24425.0,26702673.0,16860
101,33047.29301075269,4214.0,5192640.0,16940
102,330290.0,320552.0,615470781.0,16980
103,42485.0,50215.0,61089398.0,15380
104,8498.0,6955.0,5477539.0,15500
105,9860.0,11257.0,12560096.0,15540
106,6488.0,4759.0,6584760.0,15680
107,15090.0,16999.0,18545429.0,15940
108,121682.0,118519.0,27417640.0,15980
109,8561.0,11402.0,9366983.0,17020
110,72385.0,75644.0,129838822.0,17140
111,14749.0,15974.0,11139831.0,17300
