18140,"Columbus, OH (Metropolitan Statistical Area)",116225180
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",21545067
18700,"Corvallis, OR (Metropolitan Statistical Area)",4390818
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",13234960
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",3576443
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",464389967
19140,"Dalton, GA (Metropolitan Statistical Area)",6393991
19180,"Danville, IL (Metropolitan Statistical Area)",3147084
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",6006401
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",19653928
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",39298466
19460,"Decatur, AL (Metropolitan Statistical Area)",5656086
19500,"Decatur, IL (Metropolitan Statistical Area)",6485632
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",18829924
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",194854387
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",45302947
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",235105362
20020,"Dothan, AL (Metropolitan Statistical Area)",5800247
20100,"Dover, DE (Metropolitan Statistical Area)",7018157
20220,"Dubuque, IA (Metropolitan Statistical Area)",5700053
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",14299750
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",45099151
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",6144704
20740,"Eau Claire, WI (Metropolitan Statistical Area)",8502893
20940,"El Centro, CA (Metropolitan Statistical Area)",8493669
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5276790
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",14834828
21300,"Elmira, NY (Metropolitan Statistical Area)",3549347
21340,"El Paso, TX (Metropolitan Statistical Area)",28874716
21420,"Enid, OK (Metropolitan Statistical Area)",3186594
21500,"Erie, PA (Metropolitan Statistical Area)",10767875
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",15228030
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",16544397
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",5317630
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",13443394
22140,"Farmington, NM (Metropolitan Statistical Area)",5846232
22180,"Fayetteville, NC (Metropolitan Statistical Area)",19078206
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",23727377
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",7007523
22420,"Flint, MI (Metropolitan Statistical Area)",14834898
22500,"Florence, SC (Metropolitan Statistical Area)",9057097
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4733145
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",4772639
22660,"Fort Collins, CO (Metropolitan Statistical Area)",17851909
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",8577661
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",21026580
23420,"Fresno, CA (Metropolitan Statistical Area)",44264307
23460,"Gadsden, AL (Metropolitan Statistical Area)",2911022
23540,"Gainesville, FL (Metropolitan Statistical Area)",13839886
23580,"Gainesville, GA (Metropolitan Statistical Area)",9365514
23900,"Gettysburg, PA (Metropolitan Statistical Area)",3507548
24020,"Glens Falls, NY (Metropolitan Statistical Area)",5554461
24140,"Goldsboro, NC (Metropolitan Statistical Area)",4517297
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",5035525
24260,"Grand Island, NE (Metropolitan Statistical Area)",3860003
24300,"Grand Junction, CO (Metropolitan Statistical Area)",6058926
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",54900621
24420,"Grants Pass, OR (Metropolitan Statistical Area)",2601815
24500,"Great Falls, MT (Metropolitan Statistical Area)",3586088
24540,"Greeley, CO (Metropolitan Statistical Area) *",21311885
24580,"Green Bay, WI (Metropolitan Statistical Area)",18946740
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",37885426
24780,"Greenville, NC (Metropolitan Statistical Area)",8476606
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",41391650
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",16926113
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",10280020
25220,"Hammond, LA (Metropolitan Statistical Area)",3692765
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",6250134
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",35398421
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",7215973
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",92930643
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",5645971
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",13884041
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",7599138
25980,"Hinesville, GA (Metropolitan Statistical Area)",3333487
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",3456006
26300,"Hot Springs, AR (Metropolitan Statistical Area)",2992759
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",8964394
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",463517102
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",15042987
26620,"Huntsville, AL (Metropolitan Statistical Area)",25402021
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",6873624
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",123441866
26980,"Iowa City, IA (Metropolitan Statistical Area)",9440753
27060,"Ithaca, NY (Metropolitan Statistical Area)",5530432
27100,"Jackson, MI (Metropolitan Statistical Area)",5610800
27140,"Jackson, MS (Metropolitan Statistical Area)",24597375
27180,"Jackson, TN (Metropolitan Statistical Area)",7710601
27260,"Jacksonville, FL (Metropolitan Statistical Area)",73616490
27340,"Jacksonville, NC (Metropolitan Statistical Area)",8073168
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",6684674
27620,"Jefferson City, MO (Metropolitan Statistical Area)",7021036
27740,"Johnson City, TN (Metropolitan Statistical Area)",6788712
27780,"Johnstown, PA (Metropolitan Statistical Area)",4486016
27860,"Jonesboro, AR (Metropolitan Statistical Area)",4769861
27900,"Joplin, MO (Metropolitan Statistical Area)",7089459
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",9239666
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",12622520
28100,"Kankakee, IL (Metropolitan Statistical Area)",5475554
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",122027912
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",14590499
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",16795477
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area) *",12372823
28740,"Kingston, NY (Metropolitan Statistical Area)",6404599
28940,"Knoxville, TN (Metropolitan Statistical Area)",39345127
29020,"Kokomo, IN (Metropolitan Statistical Area)",3869901
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",7387781
29180,"Lafayette, LA (Metropolitan Statistical Area)",20064836
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",10338592
29340,"Lake Charles, LA (Metropolitan Statistical Area)",16435595
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",4943977
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",23982821
29540,"Lancaster, PA (Metropolitan Statistical Area)",26820073
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",23609661
29700,"Laredo, TX (Metropolitan Statistical Area)",12074896
29740,"Las Cruces, NM (Metropolitan Statistical Area)",6733016
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",107500238
29940,"Lawrence, KS (Metropolitan Statistical Area)",4503452
30020,"Lawton, OK (Metropolitan Statistical Area)",4627121
30140,"Lebanon, PA (Metropolitan Statistical Area)",5569868
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",2659400
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",4256656
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",26402432
30620,"Lima, OH (Metropolitan Statistical Area)",7775161
30700,"Lincoln, NE (Metropolitan Statistical Area)",17587029
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",33228850
30860,"Logan, UT-ID (Metropolitan Statistical Area)",5367545
30980,"Longview, TX (Metropolitan Statistical Area)",15562543
31020,"Longview, WA (Metropolitan Statistical Area)",4710101
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",937166561
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",63551470
31180,"Lubbock, TX (Metropolitan Statistical Area)",13064236
31340,"Lynchburg, VA (Metropolitan Statistical Area) *",9606241
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",10531290
31460,"Madera, CA (Metropolitan Statistical Area)",6456568
31540,"Madison, WI (Metropolitan Statistical Area)",45140153
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",25408664
31740,"Manhattan, KS (Metropolitan Statistical Area)",6277240
31860,"Mankato, MN (Metropolitan Statistical Area)",5346623
31900,"Mansfield, OH (Metropolitan Statistical Area)",4355571
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",19421294
32780,"Medford, OR (Metropolitan Statistical Area)",8381034
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",68306485
32900,"Merced, CA (Metropolitan Statistical Area)",9918371
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",321547437
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",3864949
33220,"Midland, MI (Metropolitan Statistical Area)",4987281
33260,"Midland, TX (Metropolitan Statistical Area)",34028279
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",93081841
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",240704552
33540,"Missoula, MT (Metropolitan Statistical Area)",5031347
33660,"Mobile, AL (Metropolitan Statistical Area)",18970993
33700,"Modesto, CA (Metropolitan Statistical Area)",22846927
33740,"Monroe, LA (Metropolitan Statistical Area)",7883740
33780,"Monroe, MI (Metropolitan Statistical Area)",5308843
33860,"Montgomery, AL (Metropolitan Statistical Area)",16031416
34060,"Morgantown, WV (Metropolitan Statistical Area)",6793100
34100,"Morristown, TN (Metropolitan Statistical Area)",4473722
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",7544214
34620,"Muncie, IN (Metropolitan Statistical Area)",3683385
34740,"Muskegon, MI (Metropolitan Statistical Area)",5875921
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",15326111
34900,"Napa, CA (Metropolitan Statistical Area)",10053421
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",15760820
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",118459765
35100,"New Bern, NC (Metropolitan Statistical Area)",4936064
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",47660112
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",74913492
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1555852330
35660,"Niles, MI (Metropolitan Statistical Area)",7140383
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",30691679
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",17217959
36100,"Ocala, FL (Metropolitan Statistical Area)",8961733
36140,"Ocean City, NJ (Metropolitan Statistical Area)",4735556
36220,"Odessa, TX (Metropolitan Statistical Area)",12984788
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",26102701
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",78390780
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",12486025
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",56530708
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",125336112
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",9484146
36980,"Owensboro, KY (Metropolitan Statistical Area)",5365319
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",47162680
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",23299546
37460,"Panama City, FL (Metropolitan Statistical Area)",7716270
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3215815
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",18202880
37900,"Peoria, IL (Metropolitan Statistical Area)",20835439
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",392231712
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",229977451
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",3312183
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",142471157
38340,"Pittsfield, MA (Metropolitan Statistical Area)",6523352
38540,"Pocatello, ID (Metropolitan Statistical Area)",3141168
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",28328330
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",152388498
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",15063173
39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",28793662
39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",6439483
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",78022671
39340,"Provo-Orem, UT (Metropolitan Statistical Area)",24917069
39380,"Pueblo, CO (Metropolitan Statistical Area)",6060725
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",4627343
39540,"Racine, WI (Metropolitan Statistical Area)",7742718
39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",82217038
39660,"Rapid City, SD (Metropolitan Statistical Area)",5584861
39740,"Reading, PA (Metropolitan Statistical Area)",18529351
39820,"Redding, CA (Metropolitan Statistical Area)",7826545
39900,"Reno, NV (Metropolitan Statistical Area)",25048118
40060,"Richmond, VA (Metropolitan Statistical Area) *",77162083
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",164487230
40220,"Roanoke, VA (Metropolitan Statistical Area) *",15105971
40340,"Rochester, MN (Metropolitan Statistical Area)",12739532
40380,"Rochester, NY (Metropolitan Statistical Area)",55373998
40420,"Rockford, IL (Metropolitan Statistical Area)",14921756
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",8127558
40660,"Rome, GA (Metropolitan Statistical Area)",3881638
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",127055984
40980,"Saginaw, MI (Metropolitan Statistical Area)",7641622
41060,"St. Cloud, MN (Metropolitan Statistical Area)",9818069
41100,"St. George, UT (Metropolitan Statistical Area)",5550054
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",5510648
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",150857645
41420,"Salem, OR (Metropolitan Statistical Area)",16772148
41500,"Salinas, CA (Metropolitan Statistical Area)",26821031
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",19666209
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",85198816
41660,"San Angelo, TX (Metropolitan Statistical Area)",7559617
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",113554864
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",217509581
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",511920423
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",306242907
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",16352453
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",13837794
42140,"Santa Fe, NM (Metropolitan Statistical Area)",5864721
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",27671513
42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",28320010
42340,"Savannah, GA (Metropolitan Statistical Area)",19364843
42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",25843112
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",364163878
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",5735179
42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",2456909
43100,"Sheboygan, WI (Metropolitan Statistical Area)",6687709
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",4797618
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",20954042
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",4416290
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",7588542
43620,"Sioux Falls, SD (Metropolitan Statistical Area)",18055887
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",13686478
