,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019
26,12540,"Bakersfield, CA Metro Area",872223,272888,388291,259120,147531,665025,900202,302927,302927,30039.0,272888.0,272888.0,112496,21469,74239,135915,55747,8047,1600849,25283.0,130580.0,155083.0,171997.0,64784.0,29512.0,51416782.0
27,12580,"Baltimore-Columbia-Towson, MD Metro Area",2732343,1062901,1106900,609673,638619,2258125,2800053,1169780,1169780,106879.0,1062901.0,1062901.0,357247,120055,267332,447473,234622,76725,7588664,41340.0,163020.0,476832.0,491359.0,448825.0,366794.0,188615454.0
28,12620,"Bangor, ME Metro Area",144971,64096,58744,26834,40925,128734,152148,76369,76369,12273.0,64096.0,64096.0,19400,8833,21926,29838,9210,2484,419108,28414.0,7639.0,35889.0,33606.0,21261.0,10896.0,6033967.0
29,12700,"Barnstable Town, MA Metro Area",210469,96509,59454,31677,87485,185539,212990,164686,164686,68177.0,96509.0,96509.0,19311,13347,40887,71839,28135,7934,967698,41517.0,5836.0,33904.0,48836.0,43969.0,35017.0,13587539.0
30,13020,"Bay City, MI Metro Area",102250,44887,35925,20615,29312,84877,103126,48365,48365,3478.0,44887.0,44887.0,11556,4907,11305,23282,6601,1707,291099,29935.0,5296.0,25717.0,27727.0,11105.0,5072.0,3323417.0
31,13140,"Beaumont-Port Arthur, TX Metro Area",373038,142135,154699,95113,86680,308004,392563,172905,172905,30770.0,142135.0,142135.0,47272,18135,42002,83041,23580,4018,967609,30699.0,37734.0,84037.0,87788.0,38469.0,14770.0,26978191.0
32,13220,"Beckley, WV Metro Area",111619,49117,40008,23780,34251,94552,115767,57566,57566,8449.0,49117.0,49117.0,13649,2651,15171,28056,9502,1374,350909,25161.0,11091.0,35074.0,22216.0,9344.0,5442.0,3844406.0
33,13380,"Bellingham, WA Metro Area",223451,88794,96948,44070,58236,189044,229247,99210,99210,10416.0,88794.0,88794.0,31639,10310,26375,42328,12731,3259,551795,31750.0,8997.0,36649.0,52633.0,34534.0,20117.0,13808458.0
34,13460,"Bend, OR Metro Area",195748,76528,72411,39049,55345,163583,197692,92781,92781,16253.0,76528.0,76528.0,22398,4672,18941,53581,12484,1964,529970,32496.0,9917.0,27455.0,51477.0,34219.0,21972.0,8670438.0
35,13740,"Billings, MT Metro Area",177540,78108,67274,41523,46326,145368,181667,85312,85312,7204.0,78108.0,78108.0,25203,8997,22643,27772,15736,8653,526022,32371.0,8456.0,40219.0,37971.0,27145.0,13233.0,10075817.0
36,13780,"Binghamton, NY Metro Area",228652,99300,91290,46726,64798,197457,238691,114010,114010,14710.0,99300.0,99300.0,33144,11784,25389,50670,20283,3767,701286,30519.0,15104.0,52068.0,51393.0,21983.0,20757.0,10651536.0
37,13820,"Birmingham-Hoover, AL Metro Area",1070169,428665,428514,248870,249467,868339,1090435,489791,489791,61126.0,428665.0,428665.0,138383,33968,119573,218428,86250,24310,3044702,31257.0,76430.0,204633.0,226226.0,148043.0,94108.0,55427936.0
38,13900,"Bismarck, ND Metro Area",125624,52396,51715,29499,31056,102707,129115,59959,59959,7563.0,52396.0,52396.0,15472,4595,16637,16216,14484,7057,390359,37151.0,5435.0,21880.0,30848.0,20838.0,8380.0,6839524.0
39,13980,"Blacksburg-Christiansburg, VA Metro Area",151953,62114,80729,26300,33908,142395,166109,71724,71724,9610.0,62114.0,62114.0,26213,4032,23786,27315,13044,3111,415903,25288.0,7393.0,30618.0,26154.0,18420.0,18021.0,6864423.0
40,14010,"Bloomington, IL Metro Area",161595,65118,79460,36449,32608,139016,171517,72761,72761,7643.0,65118.0,65118.0,23590,8246,18701,24989,15660,4083,453538,35381.0,5784.0,23199.0,27695.0,32115.0,15752.0,13778419.0
41,14020,"Bloomington, IN Metro Area",152425,62229,87121,27902,33977,144550,169230,72239,72239,10010.0,62229.0,62229.0,23871,9227,18937,28035,10915,3430,412523,23314.0,6711.0,27219.0,24748.0,21528.0,19291.0,6644075.0
42,14100,"Bloomsburg-Berwick, PA Metro Area",78162,33738,31584,15294,22940,69824,83194,38700,38700,4962.0,33738.0,33738.0,9846,4949,8625,18120,5103,1318,231832,30558.0,5619.0,22918.0,13611.0,8891.0,6180.0,4123229.0
43,14260,"Boise City, ID Metro Area",733339,275681,305226,185276,159667,585076,749057,289371,289371,13690.0,275681.0,275681.0,77690,16528,57044,125512,66344,20104,1800292,31889.0,39175.0,116485.0,176869.0,109210.0,56919.0,33376259.0
44,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4712847,1855763,2015158,953269,1096277,4033115,4873019,1985813,1985813,130050.0,1855763.0,1855763.0,713642,305405,566583,632117,330224,91507,11379681,43217.0,267913.0,756101.0,715147.0,911046.0,782641.0,423725910.0
45,14500,"Boulder, CO Metro Area",313858,131854,145977,61507,67678,272579,326196,140554,140554,8700.0,131854.0,131854.0,50620,15841,35273,43797,29881,12095,866266,39663.0,12168.0,22028.0,42440.0,77590.0,63520.0,27509931.0
46,14540,"Bowling Green, KY Metro Area",168570,66318,77229,42008,33503,140134,176816,77504,77504,11186.0,66318.0,66318.0,25140,8821,18796,34331,12146,2695,453624,25685.0,14457.0,32312.0,30413.0,19718.0,13315.0,6550187.0
47,15260,"Brunswick, GA Metro Area",117813,47730,42546,24140,32751,98488,119122,62209,62209,14479.0,274542.32984293194,47730.0,13933,3107,15218,30279,9538,2044,353925,27121.0,11661.0,26783.0,26632.0,10464.0,9512.0,4190613.0
