,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019
109,21140,"Elkhart-Goshen, IN Metro Area",201420,68553,78834,56669,43272,156705,206341,79764,79764,11211.0,68553.0,68553.0,18602,6236,18125,36371,14527,4041,505417,29214.0,23050.0,48765.0,33187.0,18298.0,7777.0,14500980.0
110,21300,"Elmira, NY Metro Area",79169,33490,29838,17285,22366,68229,83456,39081,39081,5591.0,33490.0,33490.0,9418,3799,10407,16851,6595,1036,234682,28886.0,4688.0,19181.0,20658.0,8165.0,6883.0,3627023.0
111,21340,"El Paso, TX Metro Area",827224,270137,365307,225223,148686,643387,843725,302722,302722,32585.0,270137.0,270137.0,106704,25333,64802,138840,56844,7565,1633845,23326.0,106607.0,133378.0,161678.0,85891.0,35829.0,29193881.0
112,21420,"Enid, OK Metro Area",59232,23683,25192,15681,12836,46983,61056,26769,26769,3086.0,23683.0,23683.0,7733,1860,6599,11742,5307,972,159687,30701.0,4388.0,13310.0,13031.0,6013.0,2804.0,3201330.0
113,21500,"Erie, PA Metro Area",256304,110128,102342,56861,69200,219200,269728,121861,121861,11733.0,110128.0,110128.0,36973,10260,30152,54958,20763,3302,738982,27342.0,17176.0,68212.0,46287.0,34869.0,20211.0,10915678.0
114,21660,"Eugene-Springfield, OR Metro Area",374921,155696,157488,69571,100979,319725,382067,164846,164846,9150.0,155696.0,155696.0,65398,16432,49938,65424,21555,4608,876382,27988.0,19072.0,61427.0,98709.0,50858.0,34795.0,15482217.0
115,21780,"Evansville, IN-KY Metro Area",305566,129971,120127,68208,80167,254865,315086,143393,143393,13422.0,129971.0,129971.0,42316,16641,39711,60721,19993,4489,847401,30229.0,18899.0,78376.0,63214.0,38628.0,19914.0,17368860.0
116,21820,"Fairbanks, AK Metro Area",92600,35556,44672,23004,16365,76263,96849,44316,44316,8760.0,35556.0,35556.0,13556,4868,11272,13477,9156,1274,234547,38104.0,2654.0,12724.0,25511.0,10212.0,10179.0,5217255.0
117,22900,"Fort Smith, AR-OK Metro Area",245454,98307,94352,60208,60016,196934,249152,111754,111754,13447.0,98307.0,98307.0,37185,9365,28874,55518,13046,2836,627615,25351.0,23819.0,58962.0,50195.0,23917.0,11359.0,8669643.0
118,22020,"Fargo, ND-MN Metro Area",238470,104097,115815,55842,44281,194542,246145,112592,112592,8495.0,104097.0,104097.0,49491,16328,35130,30064,20225,8726,666346,35578.0,7096.0,34800.0,51943.0,43531.0,20127.0,13574287.0
119,22140,"Farmington, NM Metro Area",122225,42561,48129,32366,27236,95509,123958,51481,51481,8920.0,42561.0,42561.0,14193,3346,13777,22845,7678,1335,267619,23753.0,11657.0,24706.0,33095.0,6661.0,5050.0,5907349.0
120,22180,"Fayetteville, NC Metro Area",503327,193936,234639,132898,90681,407989,526719,221723,221723,27787.0,193936.0,193936.0,86811,10487,46105,121078,34245,5990,1281046,27310.0,32400.0,93640.0,126804.0,51442.0,27460.0,19297971.0
121,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",523104,196683,234158,135157,94944,416093,536120,216377,216377,19694.0,196683.0,196683.0,76019,15584,50007,97225,37381,8831,1239202,30858.0,43801.0,99070.0,85471.0,70154.0,42564.0,23863192.0
122,22380,"Flagstaff, AZ Metro Area",129443,48993,70796,28005,26065,118789,143476,67491,67491,18498.0,48993.0,48993.0,18862,5927,18349,27622,9962,2233,341976,26153.0,5516.0,17279.0,28376.0,18637.0,14874.0,6764676.0
123,22420,"Flint, MI Metro Area",400914,169247,148111,90568,104740,326758,405813,192921,192921,23674.0,169247.0,169247.0,50801,15615,52582,90649,27759,4702,1143683,28519.0,27043.0,86307.0,107128.0,37975.0,22484.0,14994994.0
124,22500,"Florence, SC Metro Area",200519,77848,76300,46925,51443,163653,204911,92831,92831,14983.0,77848.0,77848.0,26095,2465,18513,51687,13865,2584,549480,25806.0,18670.0,49021.0,39316.0,19780.0,12409.0,9461135.0
125,22520,"Florence-Muscle Shoals, AL Metro Area",145642,60837,55689,30003,40959,120837,147970,72483,72483,11646.0,60837.0,60837.0,20768,6355,16410,35096,11879,2392,446530,24688.0,14565.0,38612.0,29556.0,12923.0,8066.0,4818836.0
126,22540,"Fond du Lac, WI Metro Area",100086,42604,37251,21205,27211,84734,103403,45554,45554,32656.16304347826,42604.0,42604.0,13807,4340,12171,20071,6413,930,264876,35992.0,5070.0,26237.0,24235.0,11196.0,5974.0,4903922.0
127,22660,"Fort Collins, CO Metro Area",346494,146638,159512,69047,79505,295452,356899,154407,154407,7769.0,146638.0,146638.0,50240,12836,39580,52097,32848,14892,986805,35956.0,8472.0,42827.0,70138.0,71744.0,45008.0,18267696.0
128,23060,"Fort Wayne, IN Metro Area",406868,160462,162435,104528,89021,320314,413263,175751,175751,15289.0,160462.0,160462.0,46873,15897,36429,80897,32873,6290,1098141,31274.0,28552.0,76531.0,90337.0,51950.0,24343.0,21554076.0
129,23420,"Fresno, CA Metro Area",981920,315974,425192,281383,175750,746456,999101,336479,336479,20505.0,315974.0,315974.0,146538,28147,79164,142714,56138,11501,1763374,27429.0,145187.0,136503.0,202934.0,91545.0,45271.0,46009312.0
130,23460,"Gadsden, AL Metro Area",100640,40053,35744,21989,27469,82584,102268,47855,47855,7802.0,40053.0,40053.0,10877,1827,13824,24174,5400,1421,283037,23297.0,11380.0,23037.0,24958.0,7524.0,4845.0,2915965.0
131,23540,"Gainesville, FL Metro Area",313157,126736,153244,60507,70280,274685,328517,149591,149591,22855.0,126736.0,126736.0,52719,15590,41858,62156,22334,3823,814103,26077.0,17147.0,48744.0,61381.0,41176.0,39688.0,14203764.0
132,23580,"Gainesville, GA Metro Area",202448,65625,78019,50596,42989,159604,204441,76167,76167,10542.0,65625.0,65625.0,17326,3305,15126,33716,16497,6233,495984,30519.0,27615.0,36385.0,36817.0,20969.0,13324.0,9535290.0
133,23900,"Gettysburg, PA Metro Area",98783,38703,36107,20047,28988,85446,103009,42760,42760,4057.0,38703.0,38703.0,8368,2655,8624,20911,7768,1373,269100,30125.0,7922.0,30948.0,18169.0,8696.0,6988.0,3540312.0
134,24020,"Glens Falls, NY Metro Area",120583,53686,42484,22339,37412,105767,125148,69928,69928,16242.0,53686.0,53686.0,14428,5841,19940,29429,10460,3197,412901,31654.0,9142.0,31693.0,27622.0,14254.0,10688.0,5776777.0
135,24140,"Goldsboro, NC Metro Area",120848,48482,46475,29018,28945,97085,123131,54736,54736,6254.0,48482.0,48482.0,18967,1624,13525,29445,8744,919,322600,26218.0,11445.0,25703.0,28761.0,9504.0,5078.0,4535153.0
136,24220,"Grand Forks, ND-MN Metro Area",95553,44724,45699,22131,21034,80608,100815,48604,48604,3880.0,44724.0,44724.0,19916,7281,13746,15599,7894,2989,282550,32499.0,2963.0,13688.0,24508.0,13544.0,7836.0,5013098.0
137,24260,"Grand Island, NE Metro Area",73713,30529,27004,20220,17011,57752,75553,32123,32123,32656.16304347826,30529.0,30529.0,10693,2233,7917,13503,5565,2030,202777,31444.0,6661.0,16359.0,15899.0,7094.0,3279.0,3975105.0
138,24300,"Grand Junction, CO Metro Area",151062,63644,58773,32735,43472,125044,154210,68118,68118,4474.0,63644.0,63644.0,18311,2382,15247,36516,9880,2764,389554,29655.0,9527.0,29498.0,36349.0,21132.0,10842.0,6214937.0
139,24340,"Grand Rapids-Kentwood, MI Metro Area",1050859,396763,447594,254741,224097,850249,1077370,425430,425430,28667.0,396763.0,396763.0,109842,33161,102302,165689,88659,27890,2722771,31785.0,59028.0,188719.0,225895.0,157561.0,80206.0,55050649.0
140,24580,"Green Bay, WI Metro Area",315355,132099,122122,74149,74898,257817,322906,145175,145175,13076.0,132099.0,132099.0,45996,14107,40976,61158,21997,4546,838585,35502.0,17233.0,70674.0,70753.0,43789.0,17437.0,19113333.0
141,24420,"Grants Pass, OR Metro Area",84990,35206,27323,16790,30599,72752,87487,39641,39641,4435.0,35206.0,35206.0,11867,3468,11532,18789,3973,447,209806,24355.0,7049.0,21697.0,25651.0,7007.0,3996.0,2722587.0
142,24500,"Great Falls, MT Metro Area",78728,32816,31717,18237,21137,65381,81366,39203,39203,6387.0,32816.0,32816.0,11172,3956,12027,12371,6828,2624,231485,27064.0,3981.0,18396.0,18267.0,9616.0,4359.0,3635635.0
143,24540,"Greeley, CO Metro Area",317062,111298,137691,84282,58166,248474,324492,115917,115917,4619.0,111298.0,111298.0,29410,5196,21185,45676,25910,16400,777406,37023.0,26031.0,52714.0,68943.0,38415.0,24527.0,22020305.0
144,24660,"Greensboro-High Point, NC Metro Area",746472,301529,299967,169051,176393,621699,771851,338972,338972,37443.0,301529.0,301529.0,115169,22115,94013,149254,51090,12258,1962381,27078.0,71470.0,142829.0,153686.0,102235.0,55217.0,38579779.0
145,24780,"Greenville, NC Metro Area",173204,70926,82815,38491,32649,145771,180742,81250,81250,10324.0,70926.0,70926.0,35266,8499,21427,39027,8460,2416,442731,27231.0,13076.0,28701.0,34309.0,21609.0,14348.0,8645832.0
146,24860,"Greenville-Anderson, SC Metro Area",896193,349480,359891,204035,213754,740081,920477,395415,395415,45935.0,349480.0,349480.0,101747,23268,92782,186640,68510,16528,2407311,29443.0,75926.0,166035.0,187505.0,124288.0,71787.0,42439987.0
148,25060,"Gulfport-Biloxi, MS Metro Area",407873,159081,158116,96084,97119,333343,417665,190325,190325,31244.0,159081.0,159081.0,54848,11713,44510,99981,26374,4797,1076374,26990.0,27905.0,85054.0,106119.0,41862.0,22597.0,17124941.0
149,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",276827,110354,107955,63350,68677,232350,289545,122621,122621,12267.0,110354.0,110354.0,33905,9800,28374,58615,19048,5110,756323,30341.0,25615.0,76764.0,56492.0,26645.0,18918.0,10377372.0
150,25220,"Hammond, LA Metro Area",131388,46526,54303,32818,27901,104677,134758,57545,57545,11019.0,46526.0,46526.0,12945,4209,13526,29594,8242,1307,323560,23178.0,13416.0,31144.0,21082.0,13525.0,8088.0,3826831.0
151,25260,"Hanford-Corcoran, CA Metro Area",138401,44761,69787,41343,22247,115124,152940,46958,46958,32656.16304347826,44761.0,44761.0,20900,2900,11260,21933,9004,742,247803,28930.0,27077.0,21507.0,29754.0,11434.0,5311.0,6609432.0
152,25420,"Harrisburg-Carlisle, PA Metro Area",559043,234365,215607,123799,143688,469137,577941,254393,254393,20028.0,234365.0,234365.0,76120,23368,63770,104982,44309,13261,1594119,34897.0,37311.0,135671.0,97330.0,83786.0,50804.0,36226869.0
153,25500,"Harrisonburg, VA Metro Area",126015,47098,62308,26710,28719,110920,134964,54529,54529,7431.0,47098.0,47098.0,18198,3494,12508,22586,11579,2643,327960,27490.0,13254.0,26448.0,18568.0,14274.0,10627.0,7194035.0
154,25540,"Hartford-East Hartford-Middletown, CT Metro Area",1162742,476867,464863,240763,301488,994927,1204877,518329,518329,41462.0,476867.0,476867.0,162702,69675,138451,193594,87785,16801,2987896,39322.0,74632.0,219178.0,214413.0,183495.0,151408.0,93534792.0
155,25620,"Hattiesburg, MS Metro Area",164456,59170,69922,41995,34345,129801,168469,71758,71758,12588.0,59170.0,59170.0,22746,5972,15924,34851,13357,1009,410622,23601.0,12209.0,31390.0,35870.0,16064.0,11153.0,5602213.0
156,25860,"Hickory-Lenoir-Morganton, NC Metro Area",362226,146324,131577,74617,97279,304612,369711,166316,166316,19992.0,146324.0,146324.0,37743,8250,47654,85719,20663,3120,953705,27289.0,43328.0,82492.0,87334.0,36040.0,16028.0,14074661.0
157,25940,"Hilton Head Island-Bluffton, SC Metro Area",216599,84094,72998,41459,75078,185814,222195,115366,115366,31272.0,84094.0,84094.0,19714,6552,30793,52481,18753,5036,685441,33925.0,13071.0,37765.0,48434.0,35441.0,25530.0,7867776.0
158,25980,"Hinesville, GA Metro Area",78061,29973,37112,24137,12156,59566,81344,36325,36325,6352.0,29973.0,29973.0,13255,1603,9324,16129,7767,1082,211223,30567.0,3713.0,15179.0,20599.0,5897.0,2563.0,3304980.0
159,26140,"Homosassa Springs, FL Metro Area",146830,64448,35494,21813,68353,129996,149657,80902,80902,16454.0,64448.0,64448.0,10975,3150,30491,39096,6579,881,454576,24870.0,14523.0,37558.0,40890.0,15281.0,11879.0,3879314.0
160,26300,"Hot Springs, AR Metro Area",97858,41743,34054,19539,31270,83273,99386,51011,51011,9268.0,41743.0,41743.0,12659,4965,16004,23823,4677,785,280307,24298.0,6349.0,20930.0,24557.0,13383.0,7346.0,3031464.0
161,26380,"Houma-Thibodaux, LA Metro Area",202857,76932,81752,50451,44876,163408,208075,87688,87688,10756.0,76932.0,76932.0,21550,8023,21692,45820,10167,1109,487106,26195.0,28918.0,55644.0,33876.0,15266.0,7774.0,9159201.0
162,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6981579,2436438,3003088,1861784,1201910,5407415,7066140,2690001,2690001,253563.0,2436438.0,2436438.0,972546,401339,556262,942294,598663,136455,15491803,34661.0,702982.0,1075744.0,1270252.0,971507.0,551225.0,472104254.0
163,26580,"Huntington-Ashland, WV-KY-OH Metro Area",347538,136687,128323,74829,93295,289967,355873,168276,168276,31589.0,136687.0,136687.0,39459,10113,44020,80239,24489,5996,1016244,25362.0,30945.0,91647.0,73294.0,31504.0,21775.0,15385200.0
164,26620,"Huntsville, AL Metro Area",458613,187898,184687,103123,106683,379642,471824,203043,203043,15145.0,187898.0,187898.0,58813,16178,34512,88704,48701,12772,1293906,32734.0,26882.0,73056.0,94873.0,81139.0,49627.0,26243892.0
165,26820,"Idaho Falls, ID Metro Area",150667,51152,60735,46614,28760,110375,151516,55695,55695,4543.0,51152.0,51152.0,14252,3371,11709,17161,10764,11904,388878,28666.0,6484.0,24280.0,33140.0,20343.0,7825.0,7102495.0
166,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2027204,793781,838621,507552,411379,1626320,2076531,875563,875563,81782.0,793781.0,793781.0,276508,89654,224566,348191,157573,39667,5437922,34148.0,133595.0,394308.0,371565.0,314963.0,173394.0,126096448.0
167,26980,"Iowa City, IA Metro Area",165385,70169,84688,35143,31282,142389,173105,76079,76079,5910.0,70169.0,70169.0,28727,6917,21410,23499,14331,7859,468974,32019.0,6700.0,19850.0,27079.0,27667.0,23501.0,9243394.0
168,27060,"Ithaca, NY Metro Area",89133,40322,54214,14453,21683,89637,102180,44633,44633,4311.0,40322.0,40322.0,20129,9040,10956,13089,6501,2183,244655,29958.0,2704.0,10180.0,12855.0,14218.0,19741.0,5495122.0
169,27100,"Jackson, MI Metro Area",149178,61403,58504,33533,41029,128306,158510,69818,69818,8415.0,61403.0,61403.0,15815,7551,17594,30680,10269,3232,426118,29960.0,10895.0,39897.0,35086.0,17016.0,8550.0,5684311.0
170,27140,"Jackson, MS Metro Area",571423,218853,246619,141186,125215,472227,594800,253666,253666,34813.0,218853.0,218853.0,73448,17811,50190,132589,43713,7357,1497857,26299.0,47298.0,100960.0,124710.0,76855.0,45539.0,24577764.0
171,27180,"Jackson, TN Metro Area",171919,70379,66220,40704,42815,140988,178644,79794,79794,9415.0,70379.0,70379.0,24659,3951,20760,40937,11226,2290,480152,26299.0,15628.0,45673.0,31608.0,16866.0,10110.0,7797663.0
172,27260,"Jacksonville, FL Metro Area",1525183,584381,604835,347895,355013,1247978,1559514,669824,669824,85443.0,584381.0,584381.0,198611,58041,143620,291718,139183,29090,3975691,32431.0,91122.0,301614.0,339137.0,229042.0,123576.0,75768093.0
173,27340,"Jacksonville, NC Metro Area",178429,63604,104484,48310,26802,153637,197938,81076,81076,17472.0,63604.0,63604.0,29006,2684,18560,42209,14509,2414,464493,23711.0,9030.0,32295.0,40562.0,19019.0,7770.0,8030430.0
174,27500,"Janesville-Beloit, WI Metro Area",158482,65316,61358,37401,40460,131221,163354,69429,69429,4113.0,65316.0,65316.0,20502,5791,18367,31913,10301,2501,415491,32487.0,9022.0,41390.0,34774.0,17198.0,8551.0,6919350.0
175,27620,"Jefferson City, MO Metro Area",139391,59727,56778,33842,36882,120511,151418,66306,66306,6579.0,59727.0,59727.0,18100,3781,15957,29909,12105,3916,424375,31832.0,10034.0,33680.0,31274.0,20396.0,10087.0,7053061.0
176,27740,"Johnson City, TN Metro Area",196764,89021,76520,36685,54740,171387,203697,98642,98642,9621.0,89021.0,89021.0,27865,7675,29307,42384,14147,3069,567328,25359.0,18238.0,47844.0,41040.0,22852.0,15678.0,6902865.0
177,27780,"Johnstown, PA Metro Area",123948,56490,43621,24713,40700,108727,130192,66019,66019,9529.0,56490.0,56490.0,14186,5003,17034,30656,10340,2090,418947,26251.0,5748.0,43640.0,25191.0,12408.0,6970.0,4604267.0
178,27860,"Jonesboro, AR Metro Area",129416,51288,57070,31715,25942,105529,133860,57979,57979,6691.0,51288.0,51288.0,20916,4038,16793,28308,6054,1762,336074,25683.0,10904.0,29498.0,26589.0,12876.0,7655.0,4846915.0
179,27900,"Joplin, MO Metro Area",176047,67167,69937,43868,40081,140521,179564,77117,77117,9950.0,67167.0,67167.0,23228,5974,19906,35566,10479,2906,460475,25453.0,15742.0,41276.0,35464.0,18548.0,8760.0,7151877.0
180,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",165518,54744,60813,36211,41947,134718,167488,74569,74569,19825.0,54744.0,54744.0,21455,12010,22915,23191,10257,2352,320251,36306.0,11307.0,37043.0,38871.0,22759.0,10640.0,9328861.0
181,32580,"McAllen-Edinburg-Mission, TX Metro Area",858187,247544,368454,278587,135536,621900,868707,285996,285996,38452.0,247544.0,247544.0,78818,26565,84466,119620,41623,6100,1405752,19896.0,160213.0,120675.0,118408.0,66693.0,27258.0,19766430.0
182,32780,"Medford, OR Metro Area",218174,87800,76125,44715,66236,181298,220944,97268,97268,9468.0,87800.0,87800.0,32503,9469,29655,44494,9924,1574,523425,28389.0,14908.0,45144.0,55291.0,25539.0,18520.0,8612882.0
183,32820,"Memphis, TN-MS-AR Metro Area",1318390,505048,537352,330742,277202,1052727,1344910,573811,573811,68763.0,505048.0,505048.0,208116,48890,133039,251510,103288,28812,3444748,29979.0,105073.0,260787.0,270241.0,155591.0,101435.0,68352723.0
184,32900,"Merced, CA Metro Area",270830,80645,121089,80780,46728,205769,277680,86386,86386,5741.0,80645.0,80645.0,38578,4695,17159,40483,17859,3839,486222,27470.0,51815.0,40709.0,50760.0,17021.0,7155.0,10383485.0
186,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6093632,2187192,2321793,1243489,1533192,5067035,6166488,2562497,2562497,375305.0,2187192.0,2187192.0,892888,365471,931885,789857,299973,84817,12643425,29323.0,651185.0,1162447.0,1152331.0,913264.0,555831.0,327129154.0
187,33140,"Michigan City-La Porte, IN Metro Area",101804,43100,41066,23401,28526,89299,109888,49317,49317,6217.0,43100.0,43100.0,11853,3394,13030,23345,7324,1759,293690,30697.0,8827.0,30369.0,24218.0,9616.0,4262.0,3893649.0
188,33220,"Midland, MI Metro Area",82050,34350,30287,18143,21680,67000,83156,37202,37202,32656.16304347826,34350.0,34350.0,6460,2808,7583,18847,5956,1941,238157,35740.0,3349.0,16896.0,17060.0,12874.0,8402.0,4962643.0
189,33260,"Midland, TX Metro Area",180887,61159,81599,53067,27716,134631,182782,65223,65223,4064.0,61159.0,61159.0,18615,6293,12592,29792,12776,2792,373336,36198.0,16188.0,26412.0,37765.0,22297.0,11035.0,40381782.0
190,33340,"Milwaukee-Waukesha, WI Metro Area",1544680,635351,619707,359574,352358,1256343,1575179,683615,683615,48264.0,635351.0,635351.0,254881,81137,195513,271114,99214,22652,3929695,36081.0,84920.0,287378.0,313029.0,258655.0,133723.0,93888193.0
191,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3580291,1396025,1474789,854445,749951,2878094,3640043,1469597,1469597,73572.0,1396025.0,1396025.0,416595,188066,357171,443373,332460,109954,9402375,41474.0,145258.0,530423.0,734565.0,702983.0,369679.0,242537142.0
192,33540,"Missoula, MT Metro Area",117012,50853,54114,22386,26634,99758,119600,55544,55544,4691.0,50853.0,50853.0,19181,5635,17824,18422,7803,4043,308903,29924.0,3511.0,18062.0,23881.0,24561.0,11781.0,5042539.0
193,33660,"Mobile, AL Metro Area",421538,161217,164556,100028,100248,338302,428039,193056,193056,31839.0,161217.0,161217.0,57853,16462,42887,94124,32166,5057,1143867,26879.0,36248.0,105703.0,82572.0,42865.0,23401.0,19274263.0
194,33700,"Modesto, CA Metro Area",546896,174698,227702,147773,103549,419828,550660,182987,182987,8289.0,174698.0,174698.0,74451,13445,41776,84551,32691,7130,1014343,31226.0,68799.0,106940.0,113257.0,43323.0,17260.0,23715709.0
195,33740,"Monroe, LA Metro Area",191357,77194,77155,48621,46474,157202,200261,95207,95207,18013.0,77194.0,77194.0,30268,7242,23123,45256,14718,3048,533713,24752.0,18714.0,46328.0,37332.0,20335.0,10514.0,7759597.0
196,33780,"Monroe, MI Metro Area",148968,60875,52728,31602,39975,122437,150500,65256,65256,4381.0,60875.0,60875.0,13362,4667,10827,34527,11749,2374,419379,31520.0,9679.0,34374.0,36716.0,17703.0,8591.0,5387072.0
197,33860,"Montgomery, AL Metro Area",358797,145250,149079,85326,84748,297221,372809,168417,168417,23167.0,145250.0,145250.0,52443,11956,32989,81404,33582,6258,1002705,29428.0,27292.0,72773.0,74138.0,47881.0,30950.0,16178299.0
198,34580,"Mount Vernon-Anacortes, WA Metro Area",125891,49043,46001,27778,37517,104503,129205,54936,54936,5893.0,49043.0,49043.0,14778,4988,14124,25743,6980,917,296490,33900.0,9114.0,23354.0,34681.0,16181.0,8642.0,7765443.0
199,34620,"Muncie, IN Metro Area",106480,45640,49991,20370,28074,96820,114135,52715,52715,7075.0,45640.0,45640.0,17547,4835,15607,23709,6673,1154,305091,22383.0,5572.0,26287.0,23659.0,8418.0,7795.0,3759995.0
200,34740,"Muskegon, MI Metro Area",167349,66148,64288,39258,43259,139288,173566,74496,74496,8348.0,66148.0,66148.0,17069,5400,21718,33368,11366,1834,433831,27079.0,9370.0,40666.0,44125.0,16905.0,7879.0,5857270.0
201,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",489945,198645,154027,83556,180127,422570,496901,309922,309922,111277.0,198645.0,198645.0,48030,14397,83819,153606,41635,11861,1703250,28990.0,37001.0,116735.0,124442.0,64853.0,37746.0,15830582.0
202,34900,"Napa, CA Metro Area",134438,48107,51505,27923,35835,113425,137744,55659,55659,7552.0,48107.0,48107.0,16287,7627,14402,20103,9058,2956,305726,40520.0,14180.0,17961.0,30205.0,21590.0,13730.0,10283597.0
203,34940,"Naples-Marco Island, FL Metro Area",381881,140578,109353,65038,153201,327910,384902,222289,222289,81711.0,140578.0,140578.0,36221,12951,92334,84278,27785,2422,1138063,31942.0,32499.0,79547.0,76285.0,61075.0,43805.0,16351772.0
204,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1892473,733787,817042,442175,373155,1537911,1933860,806178,806178,72391.0,733787.0,733787.0,250599,76255,195837,346686,138186,37329,4889755,35196.0,124603.0,333151.0,349261.0,326225.0,179304.0,121217044.0
205,34060,"Morgantown, WV Metro Area",129636,53129,67127,23659,29976,117778,139044,60379,60379,7250.0,53129.0,273966.6553524804,18591,5159,17053,25552,8933,2093,358112,26275.0,9430.0,25966.0,21446.0,16764.0,17996.0,6809819.0
206,34100,"Morristown, TN Metro Area",139250,55874,50021,29023,38273,118137,142749,63493,63493,7619.0,55874.0,55874.0,13721,4145,17334,31146,6931,2864,368417,23516.0,17272.0,36481.0,27284.0,11915.0,7421.0,4581790.0
207,35100,"New Bern, NC Metro Area",121402,52345,47490,26531,35192,103971,127904,61309,61309,8964.0,52345.0,52345.0,15316,1848,12401,36249,9269,1384,361382,28181.0,9284.0,25011.0,34537.0,11510.0,6672.0,5120466.0
208,35300,"New Haven-Milford, CT Metro Area",828166,329006,331267,170625,213681,704854,854757,368680,368680,39674.0,329006.0,329006.0,129887,52853,110770,134849,51063,10402,2023512,35267.0,63516.0,183855.0,142226.0,112267.0,98814.0,48368218.0
209,35380,"New Orleans-Metairie, LA Metro Area",1251089,485267,499501,280935,299898,1019357,1270530,561747,561747,76480.0,485267.0,485267.0,177392,62872,142183,230282,97580,16866,3218043,30324.0,105970.0,246877.0,248302.0,174560.0,111817.0,77290815.0
210,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",18877126,7102817,7670576,4096809,4334637,15583548,19216182,7797416,7797416,694599.0,7102817.0,7102817.0,3491333,1611651,2151464,2121193,1083747,398407,40537346,40271.0,1710664.0,3316837.0,2830504.0,3266624.0,2375867.0,1573857186.0
211,35660,"Niles, MI Metro Area",150229,61809,53950,33202,40891,123771,153401,77902,77902,16093.0,61809.0,61809.0,16108,5670,19447,34487,12655,4032,479949,28296.0,10352.0,29250.0,38732.0,17084.0,11923.0,7043241.0
212,35840,"North Port-Sarasota-Bradenton, FL Metro Area",826455,332582,232018,133078,341485,717706,836995,448252,448252,115670.0,332582.0,332582.0,77728,36149,184257,169029,44195,9738,2404055,31819.0,50806.0,187551.0,192059.0,127154.0,92061.0,31736122.0
213,35980,"Norwich-New London, CT Metro Area",253622,109752,100128,50896,68508,221016,265206,124208,124208,14456.0,109752.0,109752.0,38438,16388,31809,45132,22608,5901,739979,36934.0,12509.0,53513.0,59528.0,34098.0,28531.0,17344547.0
214,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2562362,889822,1099900,565145,549047,2106602,2608147,1077100,1077100,187278.0,889822.0,889822.0,338963,106675,280067,403175,216437,52068,6037047,29401.0,196771.0,462744.0,540556.0,391960.0,208269.0,128416036.0
215,36780,"Oshkosh-Neenah, WI Metro Area",164592,71238,69775,35005,40278,140431,171907,76311,76311,5073.0,71238.0,71238.0,26041,6813,23144,29186,11642,2819,441637,32222.0,8989.0,38072.0,34134.0,26168.0,10540.0,9725443.0
216,36980,"Owensboro, KY Metro Area",118136,48419,44306,28517,28895,94708,121128,51844,51844,3425.0,48419.0,48419.0,14470,4256,14357,22821,7749,1951,301583,29329.0,10599.0,27705.0,25765.0,11798.0,7134.0,5417119.0
217,36100,"Ocala, FL Metro Area",355224,145622,112330,67252,130745,307480,365579,173200,173200,27578.0,145622.0,145622.0,41470,8444,55919,85778,17848,1615,952062,26553.0,30139.0,100297.0,86988.0,34545.0,21886.0,9331478.0
218,36140,"Ocean City, NJ Metro Area",90325,40939,26919,15950,33911,77852,92039,99630,99630,58691.0,40939.0,40939.0,10406,6469,21020,38786,22666,8885,581042,36854.0,4530.0,24431.0,18525.0,12764.0,9707.0,5070716.0
219,36220,"Odessa, TX Metro Area",164284,53155,74059,50336,23660,120167,166223,59599,59599,6444.0,53155.0,53155.0,20523,7202,12881,28288,8602,874,312242,35354.0,23976.0,30270.0,31188.0,10038.0,5199.0,13450355.0
220,36260,"Ogden-Clearfield, UT Metro Area",677034,218724,296245,206538,109941,498303,683024,230000,230000,11276.0,218724.0,218724.0,52285,10645,38342,67022,56207,55162,1656192,35073.0,23592.0,102456.0,153987.0,91577.0,40002.0,27150236.0
221,36540,"Omaha-Council Bluffs, NE-IA Metro Area",931470,367037,384755,242109,190805,732690,949726,394296,394296,27259.0,367037.0,367037.0,124580,47753,91859,150221,76192,21972,2496466,36907.0,45581.0,151476.0,192937.0,154146.0,81781.0,57996493.0
222,36420,"Oklahoma City, OK Metro Area",1377460,523919,591996,344152,283578,1103871,1408950,582820,582820,58901.0,523919.0,523919.0,192185,52731,130841,282783,94117,11322,3307892,32340.0,100050.0,255496.0,276039.0,183585.0,106502.0,79297922.0
