,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,2018
51,230642,95740,91159,46767,64201,-888888888,199092,240219,113860,113860,18120.0,18120.0,95740,95740.0,95740.0,32229,11220,30096,44634,20288,4470,693661,26512.0,15658.0,55347.0,47039.0,25854.0,20369.0,10249212.0
52,1124693,435832,449541,260528,262964,-888888888,922349,1151801,520740,520740,84908.0,84908.0,435832,435832.0,435832.0,133862,34647,126588,242722,86938,22433,3201698,29925.0,87322.0,222394.0,243869.0,153043.0,86961.0,54961671.0
53,128728,56382,52640,29957,27775,-888888888,105333,132317,60824,60824,4442.0,4442.0,56382,56382.0,56382.0,17440,5778,13444,19651,14616,6425,400655,40771.0,5082.0,21889.0,34652.0,21693.0,7052.0,6793978.0
54,167809,68412,85822,29214,38993,-888888888,157195,181926,81873,81873,13461.0,13461.0,68412,68412.0,68412.0,24156,6131,20702,35457,15450,2843,480806,25003.0,11475.0,29054.0,34440.0,18145.0,19335.0,6747291.0
55,102858,44469,36588,21083,29916,-888888888,86290,103923,48345,48345,3876.0,3876.0,44469,44469.0,292610.1221590909,11046,4941,10295,22225,8094,2424,301967,26360.0,8088.0,26396.0,25618.0,9179.0,5294.0,3319686.0
56,392005,145130,161324,99827,88300,-888888888,321236,410233,178050,178050,32920.0,32920.0,145130,145130.0,145130.0,49611,18409,42485,87242,24117,2677,991396,26481.0,41147.0,94043.0,87710.0,36070.0,13584.0,27094016.0
57,112818,48632,41801,23801,33317,-888888888,96654,117272,57683,57683,9051.0,9051.0,48632,48632.0,292610.1221590909,12319,4043,18277,25164,8154,893,333503,29135.57329842932,13346.0,33572.0,23128.0,8306.0,6070.0,3768527.0
58,182122,73580,87192,41346,37075,-888888888,154782,190884,80721,80721,7141.0,7141.0,73580,73580.0,73580.0,24916,8089,21218,27233,18677,4300,499556,32436.0,4913.0,29744.0,32364.0,31565.0,19089.0,13809567.0
59,151388,65571,87609,27767,32635,-888888888,143094,167762,72324,72324,6753.0,6753.0,65571,65571.0,65571.0,27930,9615,20345,27826,10451,1951,399479,23866.0,6975.0,23361.0,26438.0,21648.0,20535.0,6618976.0
60,78724,34470,32186,15105,22937,-888888888,70313,83696,38559,38559,4089.0,4089.0,34470,34470.0,292610.1221590909,10160,3238,10214,16426,6210,1306,233235,29402.0,4625.0,24097.0,11451.0,9845.0,7166.0,4079567.0
