,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,msa
2,"Abilene, TX Metro Area",174006,72105,72105,10578,10578,61527,61527,61527,23049,6117,18946,36268,8600,1249,399234,26517,13839,33914,34148,18266,8609,10180
4,"Aguadilla-Isabela, PR Metro Area",292919,147422,147422,37891,37891,109531,109531,109531,40810,5815,33333,87895,16892,2093,720898,,,,,,,10380
5,"Akron, OH Metro Area",704845,315526,315526,28482,28482,287044,287044,287044,92008,28709,77749,136407,58048,10759,1971623,30780,38144,144629,143573,99244,62921,10420
7,"Albany, GA Metro Area",151158,66724,66724,10376,10376,56348,56348,56348,26535,4210,16341,34809,9128,1153,379803,24305,16505,30894,30936,10012,7503,10500
8,"Albany, OR Metro Area",127335,50891,50891,,2427,48464,48464,48464,17603,4103,12207,24698,7393,977,290099,26684,10977,25054,33730,12876,6496,10540
9,"Albany-Schenectady-Troy, NY Metro Area",883169,410484,410484,56738,56738,353746,353746,353746,129566,49583,108914,156686,72234,16055,2427527,35770,45629,156874,175362,122052,108281,10580
11,"Albuquerque, NM Metro Area",916791,391088,391088,32595,32595,358493,358493,358493,127338,35081,86900,183389,63577,9455,2230222,27080,73325,154685,197781,116135,91823,10740
12,"Alexandria, LA Metro Area",153044,67823,67823,12696,12696,55127,55127,55127,20332,5413,14771,34759,10283,2071,383105,25375,13864,43060,27153,12636,6633,10780
13,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",842913,350538,350538,30037,30037,320501,320501,320501,98674,36126,73323,147755,71203,15582,2198088,31287,56919,204774,152773,107637,65521,10900
14,"Altoona, PA Metro Area",122492,56957,56957,5861,5861,51096,51096,,14279,4543,15641,26325,8787,1143,350358,26648,6632,40316,23339,10764,7322,11020
15,"Amarillo, TX Metro Area",268356,110049,110049,11531,11531,98518,98518,98518,35528,13250,25538,53649,14106,1932,609072,31215,22408,47345,57159,32368,12824,11100
16,"Ames, IA Metro Area",98105,40766,40766,,,37290,37290,37290,16706,6671,11838,12258,7511,1126,229420,23292,1479,8240,15630,14856,11220,11180
17,"Anchorage, AK Metro Area",399148,160219,160219,22736,22736,137483,137483,137483,44722,17801,44999,57127,28065,7299,868055,35373,15200,67510,90678,53762,34192,11260
18,"Ann Arbor, MI Metro Area",370963,151576,151576,8504,8504,143072,143072,143072,55839,17602,39065,54617,29617,7542,914774,32605,10875,33556,56965,63216,68024,11460
19,"Anniston-Oxford-Jacksonville, AL Metro Area",114277,53888,53888,9624,9624,44264,44264,44264,13228,3060,13393,26182,7965,2353,327168,22154,12121,25761,27039,7914,6337,11500
20,"Appleton, WI Metro Area",237524,98531,98531,3721,3721,94810,94810,94810,24606,5657,24968,45467,17739,3462,608142,34507,10377,51326,51257,33719,15058,11540
21,"Arecibo, PR Metro Area",174271,83983,83983,19890,19890,64093,64093,64093,19867,3384,20332,49405,8553,1559,410870,,,,,,,11640
22,"Asheville, NC Metro Area",459585,230920,230920,39031,39031,191889,191889,191889,60974,14001,71983,105274,26617,5215,1342925,28888,31722,82568,102658,75866,47029,11700
26,"Athens-Clarke County, GA Metro Area",211802,85776,85776,5831,5831,79945,79945,79945,34836,8094,21347,34674,15755,4829,518625,23871,14670,30951,30373,26118,25399,12020
