,Unnamed: 0,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019,score_sdgi,_merge
307,314,46140,"Tulsa, OK Metro Area",981865,387176,390876,244433,221645,781137,998655,436691,436691,49515.0,387176.0,387176.0,136354,47386,91251,208092,69302,13498,2538789,31009.0,68798.0,193243.0,213149.0,129734.0,63780.0,54232223.0,40.0,both
311,318,46520,"Urban Honolulu, HI Metro Area",943455,316456,393105,204874,235143,792049,974563,354719,354719,38263.0,316456.0,316456.0,134922,43752,94058,113236,58527,20203,1739878,38315.0,50353.0,175946.0,210452.0,159284.0,84671.0,61094332.0,58.0,both
317,324,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1696321,675311,738203,387046,384435,1419227,1765031,742006,742006,66695.0,675311.0,675311.0,262738,54615,181242,294827,160483,42453,4575886,34435.0,99642.0,294646.0,407803.0,233989.0,158827.0,89523156.0,50.0,both
324,331,28940,"Knoxville, TN Metro Area",848722,347927,332947,178050,218492,711675,869525,392895,392895,44968.0,347927.0,347927.0,108286,28826,98547,178772,63332,16364,2384364,29348.0,63638.0,186044.0,174646.0,110163.0,70515.0,39783704.0,41.0,both
327,334,28140,"Kansas City, MO-KS Metro Area",2121325,844310,855839,517143,464499,1697546,2155068,925786,925786,81476.0,844310.0,844310.0,294903,96706,218982,350474,192101,51013,5707192,36324.0,105901.0,388796.0,415809.0,347595.0,203966.0,123267766.0,49.0,both
336,343,29460,"Lakeland-Winter Haven, FL Metro Area",709779,238629,270762,159139,191618,584373,724777,304440,304440,65811.0,238629.0,238629.0,73140,26448,97902,124535,46512,5841,1691499,26196.0,67412.0,172422.0,159809.0,69107.0,35533.0,24837880.0,40.0,both
337,344,29540,"Lancaster, PA Metro Area",532688,204701,205388,127872,136672,431887,545724,213299,213299,8598.0,204701.0,204701.0,62179,17496,45365,90056,44760,11041,1346783,32236.0,52866.0,128767.0,83551.0,68160.0,36279.0,26881438.0,48.0,both
341,348,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2239097,813607,922067,520797,471707,1801889,2266715,924533,924533,110926.0,813607.0,813607.0,372222,101164,250264,325600,171078,46268,4873706,31819.0,213359.0,440002.0,507479.0,262662.0,137445.0,110102880.0,49.0,both
350,357,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",730010,288565,300844,172607,164623,591364,744483,331096,331096,42531.0,288565.0,288565.0,103973,30607,77163,159744,49271,7973,1886496,30531.0,43510.0,153898.0,151756.0,96172.0,55858.0,33523349.0,43.0,both
354,361,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13010414,4372678,5583340,2834225,2686886,10702867,13214799,4697571,4697571,324893.0,4372678.0,4372678.0,2264637,853122,1365007,1343162,675826,176101,22962290,32473.0,1708635.0,1829694.0,2371370.0,2119864.0,1132529.0,960249652.0,56.0,both
355,362,31140,"Louisville/Jefferson County, KY-IN Metro Area",1239207,495246,489230,282962,298607,1016105,1266389,551989,551989,56743.0,495246.0,495246.0,162394,58944,136312,229394,92424,26732,3335257,31925.0,80535.0,260983.0,267084.0,166621.0,103264.0,64568844.0,42.0,both
360,367,31540,"Madison, WI Metro Area",648080,279014,291441,135329,141733,544019,664865,294054,294054,15040.0,279014.0,279014.0,109934,36592,82496,101846,51660,11382,1724286,39975.0,19903.0,90494.0,120145.0,130659.0,87444.0,46326963.0,66.0,both
361,368,31700,"Manchester-Nashua, NH Metro Area",408711,162588,160751,84269,97625,343869,417025,173305,173305,10717.0,162588.0,162588.0,53493,20800,52674,63097,29270,4453,1008277,38894.0,22961.0,78345.0,83850.0,72579.0,39867.0,25687589.0,53.0,both
365,372,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6168007,2251002,2611917,1434767,1208862,4997338,6280697,2401483,2401483,150481.0,2251002.0,2251002.0,821193,331532,494673,693842,558692,246749,15442515,49957.0,386850.0,775315.0,932699.0,1132060.0,1083660.0,492129890.0,67.0,both
372,379,48620,"Wichita, KS Metro Area",627479,246836,252823,162323,141543,496544,640218,275445,275445,28609.0,246836.0,246836.0,87537,24959,70947,102772,45626,24282,1731453,31595.0,39223.0,111325.0,138858.0,84363.0,46077.0,33975620.0,40.0,both
377,384,49180,"Winston-Salem, NC Metro Area",662172,270273,245490,146849,163026,546402,676008,303972,303972,33699.0,270273.0,270273.0,87253,18992,80845,147980,45142,7989,1801155,29837.0,57933.0,140777.0,144793.0,81489.0,46023.0,30879321.0,37.0,both
378,385,49340,"Worcester, MA-CT Metro Area",913547,363177,365498,196466,221685,776740,947404,387845,387845,24668.0,363177.0,363177.0,127577,43306,103130,153319,66100,14560,2291436,35570.0,55537.0,191318.0,179341.0,138850.0,93873.0,45527976.0,57.0,both
381,389,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",518600,230643,184818,106394,158551,443306,536081,259281,259281,28638.0,230643.0,230643.0,67750,19220,63159,126563,38229,6623,1575405,26643.0,39797.0,152086.0,103534.0,57347.0,29988.0,19794756.0,38.0,both
