,Unnamed: 0,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019,score_sdgi,_merge
73,75,17460,"Cleveland-Elyria, OH Metro Area",2007164,872626,755341,428619,538137,1672048,2048449,964496,964496,91870.0,872626.0,872626.0,312476,103765,242110,382933,181574,33825,5915166,31900.0,133560.0,410919.0,445133.0,277897.0,181285.0,118167899.0,45.0,both
76,78,17820,"Colorado Springs, CO Metro Area",727069,275778,322973,173922,147150,591197,745791,293652,293652,17874.0,275778.0,275778.0,96744,25417,62226,94967,70230,36203,1906032,34925.0,23844.0,102098.0,173044.0,120899.0,71986.0,34322697.0,46.0,both
78,80,17900,"Columbia, SC Metro Area",802475,317998,345875,184950,182759,675295,839039,363035,363035,45037.0,317998.0,317998.0,102199,19873,77975,165164,71261,19334,2228082,30802.0,59585.0,143035.0,164235.0,117476.0,75152.0,38637223.0,42.0,both
81,83,18140,"Columbus, OH Metro Area",2065259,817086,894554,495264,415588,1678203,2122271,877436,877436,60350.0,817086.0,817086.0,319126,91475,241160,331860,169886,27319,5249746,34706.0,119848.0,385046.0,385218.0,342684.0,200986.0,117001202.0,48.0,both
85,87,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",656550,263915,215727,115797,228021,565631,668365,317977,317977,54062.0,263915.0,263915.0,72173,20531,93692,153404,39858,5573,1780683,28042.0,44288.0,167641.0,166484.0,78466.0,44388.0,19285228.0,40.0,both
86,88,19740,"Denver-Aurora-Lakewood, CO Metro Area",2931618,1152457,1297798,655615,568936,2387232,2967239,1216335,1216335,63878.0,1152457.0,1152457.0,411852,178559,299233,350947,247581,108291,7410101,41987.0,162635.0,411836.0,550749.0,596198.0,354073.0,202456263.0,54.0,both
87,89,19780,"Des Moines-West Des Moines, IA Metro Area",686491,280056,288770,173392,137361,544980,699292,296946,296946,16890.0,280056.0,280056.0,86571,26424,86029,107042,55254,15880,1799064,38477.0,31536.0,115219.0,142612.0,123579.0,53680.0,45632930.0,58.0,both
88,90,19820,"Detroit-Warren-Dearborn, MI Metro Area",4276356,1720610,1630157,943743,1024083,3488626,4319629,1916951,1916951,196341.0,1720610.0,1720610.0,522750,168633,446126,879079,333020,61015,11732899,32311.0,271066.0,825252.0,944681.0,579485.0,398861.0,237089292.0,46.0,both
90,92,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7479506,2635017,3226795,1945726,1279162,5853713,7573136,2878819,2878819,243802.0,2635017.0,2635017.0,1066239,442854,574855,1046706,604381,139830,16538771,35749.0,661761.0,1131846.0,1350447.0,1155466.0,632672.0,472334266.0,46.0,both
102,104,20500,"Durham-Chapel Hill, NC Metro Area",611877,255271,272519,130315,145148,526731,644367,279480,279480,24209.0,255271.0,255271.0,98450,25962,70139,120171,45849,11382,1640446,34759.0,47864.0,89789.0,100307.0,101740.0,103505.0,47168892.0,51.0,both
