,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state
38,Oregon,4217737,1808482,1808482,159130,159130,1649352,1649352,1649352,612227,183717,488021,737207,268214,63140,10075477,32250,258399,687243,1010160,627911,404405,41
39,Pennsylvania,12801989,5732580,5732580,613331,613331,5119249,5119249,5119249,1617425,601204,1292571,2460718,1002386,252178,35369999,32088,811832,3103046,2195756,1761627,1155775,42
40,Rhode Island,1059361,470177,470177,63003,63003,407174,407174,407174,156028,68320,141438,176794,56612,13967,2581899,33986,80207,212282,194188,156087,104188,44
41,South Carolina,5148714,2351364,2351364,375449,375449,1975915,1975915,1975915,587423,126166,542839,1139125,400767,100170,14041635,29930,415678,1015260,1077707,656496,398063,45
42,South Dakota,884659,401749,401749,47950,47950,353799,353799,353799,113868,40282,106695,129007,83672,34771,2497123,31683,46294,176644,190307,121231,53553,46
43,Tennessee,6829174,3028437,3028437,373700,373700,2654737,2654737,2654737,889017,236461,766965,1383082,471272,124878,18052946,29769,562817,1480753,1302168,845100,503124,47
44,Texas,28995881,11283892,11283892,1298766,1298766,9985126,9985126,9985126,3805848,1455962,2494161,4540915,2102749,425502,63084720,31505,2882388,4734422,5379207,3750797,2025736,48
45,Vermont,623989,339412,339412,76645,76645,262767,262767,262767,76515,38141,92649,129431,50020,14497,1949823,32777,30858,129254,113174,101015,71257,50
46,Utah,3205958,1133543,1133543,109688,109688,1023855,1023855,1023855,300567,83407,216837,332092,245233,234539,7636456,31958,133060,442206,671665,448109,216552,49
47,Virginia,8535519,3562258,3562258,370411,370411,3191847,3191847,3191847,1081134,296379,826308,1379285,752411,254516,22616246,36470,584712,1387610,1575365,1312800,1012270,51
48,Washington,7614893,3195098,3195098,262621,262621,2932477,2932477,2932477,1082785,377266,794271,1187423,559731,149683,18287025,38041,440074,1167347,1727271,1204728,750904,53
49,West Virginia,1792147,894983,894983,166808,166808,728175,728175,728175,193607,64882,244551,411340,127825,28357,5366508,26354,164805,515431,331144,161686,108020,54
50,Wisconsin,5822434,2725153,2725153,338530,338530,2386623,2386623,2386623,782717,266451,773111,1103449,424166,104385,16022617,34280,290862,1223392,1242652,829878,428501,55
51,Wyoming,578759,280281,280281,47153,47153,233128,233128,233128,65546,23346,65674,114293,49322,22920,1714391,33296,21250,117501,137539,73183,40374,56
52,Puerto Rico,3193694,1559505,1559505,388523,388523,1170982,1170982,1170982,367522,80211,305298,910183,202257,27888,7440102,,,,,,,72
