GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13020,"Bay City, MI (Metropolitan Statistical Area)",3521699,3540755,3579088,3560694,3564509,3625453,3609025,3507472,3410539,3523634,3517388,3506094,3514676,3335057,3361576,3328608,3276135,3319686,3323417
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",23328527,22550335,22946654,26927289,24307848,24557275,26768231,25748237,25966437,28314907,28201138,28429695,28340875,23740998,23777602,24846498,25456422,27094016,26978191
13220,"Beckley, WV (Metropolitan Statistical Area)",3796464,3832123,3773905,3853791,4048407,4046397,4081313,4256642,4207902,4352026,4424804,4275849,4166448,3874900,3771478,3560347,3655738,3768527,3844406
13380,"Bellingham, WA (Metropolitan Statistical Area)",7987421,8570096,8719490,8813209,10843995,9876404,10182940,9937904,10056318,10409091,9582436,9606382,9699616,9749675,10065561,10886761,12012323,13190934,13808458
13460,"Bend, OR (Metropolitan Statistical Area)",4533919,4758707,5017990,5181061,5683645,6029226,6166565,5919633,5391695,5218330,5213100,5407947,5741809,6265110,6839119,7414436,8102884,8482294,8670438
13740,"Billings, MT (Metropolitan Statistical Area)",6988190,7066454,7563735,7936222,7887905,8144418,8983001,8560543,8031163,8318091,8731149,8803776,8995852,9501080,10074576,9465662,9612347,9812265,10075817
13780,"Binghamton, NY (Metropolitan Statistical Area)",8065093,8003837,7985635,8049933,8255683,8890991,9339573,9838755,9984757,10410812,10327597,10463107,10456663,10310402,10331695,10102542,10077193,10249212,10651536
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",46268804,47850291,48553316,51011984,52425048,51828961,52238118,52446550,49730757,50128633,51303180,52031313,51827790,51777280,52599538,52860279,53732552,54961671,55427936
13900,"Bismarck, ND (Metropolitan Statistical Area)",4168938,4278643,4582310,4740594,4828355,4917718,4947304,5062819,5235551,5372890,5654176,6277534,6332057,6936689,7168780,6832643,6841446,6793978,6839524
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",5442760,5517328,5856456,5914455,6260375,6663582,6833659,6408537,6057717,6093048,6267156,6229060,6271946,6503925,6706062,6765798,6523625,6747291,6864423
14010,"Bloomington, IL (Metropolitan Statistical Area)",8689127,8888906,9171679,9555108,9655499,10496900,10535458,10119435,10232726,10547829,10578199,10781922,10671054,11957897,12861486,13291312,13267761,13809567,13778419
14020,"Bloomington, IN (Metropolitan Statistical Area)",4970222,5107894,5249642,5382626,5604002,5754616,5632310,5642365,5582925,5648117,5678353,5709874,5787759,6072360,6040744,6181897,6434129,6618976,6644075
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3115725,3283059,3273892,3446351,3542068,3779396,3701353,3749420,3743817,3899057,4026250,4024529,4096031,4017305,4090167,4079618,4074725,4079567,4123229
14260,"Boise City, ID (Metropolitan Statistical Area)",18460522,18999461,20141239,21593180,23874359,24006340,24203651,24837324,23732353,23934752,23923582,24141578,25219072,26392040,26988935,28302533,30083655,32266330,33376259
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",286818266,286303896,294087036,303059668,310664832,315164204,324976499,327216743,325615980,340446586,348153680,356854846,358488456,365032742,380880796,388346340,398750645,414346347,423725910
14500,"Boulder, CO (Metropolitan Statistical Area) *",17925638,16675117,16798071,17344178,17701852,18283985,19306735,20087112,19810647,20304027,20292945,20433956,20985141,21705942,22689931,23506478,25035919,25928673,27509931
14540,"Bowling Green, KY (Metropolitan Statistical Area)",4500327,4662309,4858790,5065894,5387755,5643244,5588418,5656518,5230311,5689181,5691824,5863404,5918273,6040388,6101911,6241264,6356718,6431811,6550187
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",8392804,8844541,9001606,9338993,9728186,9950942,10055149,10389401,10141095,10087119,9993722,9895427,9818100,9999944,10265876,10669464,11016173,11591481,12065255
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",77149414,77535430,76945317,80924633,83605902,85626219,89233935,90049118,85067321,83699557,78864196,81753538,79357112,78270189,79648045,79314469,79037555,79284819,79854813
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",7274847,7625966,7760990,7877167,8091090,8510635,8555129,8671695,8676893,9068726,9280104,9385749,9513763,9470729,9532868,9712856,9803899,10091715,10373362
15260,"Brunswick, GA (Metropolitan Statistical Area)",3362719,3446835,3616226,3881639,3949484,4130384,4104714,3917014,3793215,3837584,3740894,3672893,3637997,3633837,3832484,3853601,3949332,4147572,4190613
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",47742427,48989764,49683794,51129401,51702974,54219199,54609533,54887606,54822333,56625348,56141737,57448799,57282893,58193007,59283803,59755667,59929577,61089398,63026922
15500,"Burlington, NC (Metropolitan Statistical Area)",4602420,4832090,4810459,5059473,5064993,5305046,5222975,5202602,4836829,5070433,5178092,5130666,5121617,5111206,5154163,5337591,5382040,5477539,5623983
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",8860830,9105092,9703482,10328596,10451954,10666958,10424172,10965591,10886939,11471535,11745015,11830005,11581999,11638931,11937906,12161461,12306412,12560096,12534416
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",3936778,4232833,4493914,4692039,4843325,5108171,5221902,5253317,5465575,5890429,6144570,6143524,6081585,6166281,6264838,6390500,6415645,6584760,6806268
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",14707220,14998972,15024716,15244306,15454950,15111298,14830609,14752083,13781950,14430703,15591933,15196626,16259162,17864045,18337613,18162117,18217547,18545429,18617828
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",16955641,18134567,19799508,22263237,24651124,26415244,25939312,23825667,21862440,21663831,21370029,21681142,21900062,23080681,24291367,25754798,26696396,27417640,28207575
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3309524,3402729,3459118,3613892,3781662,3919710,3936036,3954992,3876758,3864302,3841819,3819564,3802787,3799930,3925395,3976297,4002155,4086120,4149013
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4398221,4603192,4635123,4741907,4894401,5192081,5181553,5312169,5315343,5510156,5597218,5622308,5403137,5274764,5249420,5218522,5241716,5421936,5434423
16180,"Carson City, NV (Metropolitan Statistical Area)",2931971,2979968,3037806,3119267,3206879,3289485,3301457,3230552,3215908,3353793,3112948,3090326,3088614,2894890,2959687,2949274,3137237,3232270,3351143
16220,"Casper, WY (Metropolitan Statistical Area)",3155911,3251010,3323946,3549376,3842345,4354007,4458879,4581932,4269147,4462032,4732712,5301661,5402455,5824958,5785662,5224501,5111885,5626913,5602739
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",10605185,10499267,11252886,12288701,12916863,12854473,13969674,13866591,14277950,15091731,15448883,15285467,15255472,15865640,16674670,16737002,16543568,16963563,16915770
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",4010843,3925774,4209902,4539310,4907871,5241969,5616718,5530696,5142041,5105227,5139072,5085156,5186456,5314379,5355290,5301725,5650634,5762282,5850275
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",8624659,8979385,9010030,9156593,9214180,9515999,9720031,10041256,9949971,10346836,10395916,10439597,10794296,10994053,10852035,10737280,10653660,10744785,10733098
16620,"Charleston, WV (Metropolitan Statistical Area)",13728588,13746571,13672972,13569783,13981260,14130417,14043165,13997113,13997468,13715011,13661324,13040081,12782117,12421388,12171180,11940614,11649283,12326275,11794813
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",21574369,22375529,23590509,24929436,26462940,27211893,28195816,28142879,27332914,28402690,29834914,31499192,31355503,32418133,33929793,35690229,36964738,38403896,39547761
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",92815426,95125958,99350143,104842398,112368069,119266856,120867307,128017193,117765810,114327414,120387559,127584508,125827155,129446072,134805014,138624671,143827188,148297645,150589392
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",7940523,8074055,8446373,8914768,9419357,9810164,10176929,10243698,10338068,10774065,10808619,11067189,10874020,11023418,11198682,11506227,12008164,12197403,12315889
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",20087324,20529324,21124345,22115738,22510406,22898540,22872211,23064877,22078932,22552293,23447722,24182289,24489670,24388620,25071081,25456528,26203808,26702673,27149478
