,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019
24,West Virginia,1739050,1739050,728175,647265,358818,501753,1476688,1792147,894983,894983,166808,166808,728175,728175,728175,193607,64882,244551,411340,127825,28357,5366508,26354.0,164805.0,515431.0,331144.0,161686.0,108020.0,72542.9
25,Wisconsin,5675557,5675557,2386623,2218453,1263412,1428853,4707424,5822434,2725153,2725153,338530,338530,2386623,2386623,2386623,782717,266451,773111,1103449,424166,104385,16022617,34280.0,290862.0,1223392.0,1242652.0,829878.0,428501.0,303891.2
26,Wyoming,563528,563528,233128,226697,134189,138116,458477,578759,280281,280281,47153,47153,233128,233128,233128,65546,23346,65674,114293,49322,22920,1714391,33296.0,21250.0,117501.0,137539.0,73183.0,40374.0,38628.4
27,Puerto Rico,3167190,3167190,1170982,1213716,572734,892571,2699404,3193694,1559505,1559505,388523,388523,1170982,1170982,1170982,367522,80211,305298,910183,202257,27888,7440102,,,,,,,
28,Georgia,10332523,10332523,3852714,4321080,2503029,2137322,8394269,10617423,4378350,4378350,525636,525636,3852714,3852714,3852714,1382142,335804,941188,1849323,862852,321237,27203174,31104.0,856025.0,1939945.0,1982684.0,1410395.0,891173.0,558277.3
29,Idaho,1753946,1753946,655859,706209,449355,403404,1386665,1787065,751113,751113,95254,95254,655859,655859,655859,186472,47207,172465,303953,149947,63651,4655346,29567.0,99906.0,305274.0,429162.0,220189.0,116466.0,73912.0
30,Hawaii,1379078,1379078,465299,547711,300187,360166,1147569,1415872,550328,550328,85029,85029,465299,465299,465299,185339,67629,145365,190809,83633,28250,2671093,36789.0,75978.0,273421.0,312060.0,219979.0,115230.0,79175.4
31,Illinois,12373209,12373209,4866006,5048120,2814679,2862069,10184783,12671821,5388210,5388210,522204,522204,4866006,4866006,4866006,1654139,623632,1531109,1959541,884454,239648,31700046,35125.0,882637.0,2255611.0,2447474.0,1886240.0,1222732.0,777653.8
32,Indiana,6517430,6517430,2597765,2644879,1567421,1516393,5346452,6732219,2921115,2921115,323350,323350,2597765,2597765,2597765,797282,261879,741070,1279163,478498,116201,17873350,30886.0,468083.0,1526825.0,1294281.0,777771.0,435055.0,338350.1
33,Iowa,3058938,3058938,1287221,1224288,721830,761777,2516898,3155070,1418600,1418600,131379,131379,1287221,1287221,1287221,379341,126873,391008,545270,251143,77753,8757950,32662.0,156481.0,658822.0,685448.0,420199.0,202054.0,172906.0
34,Kansas,2826818,2826818,1138329,1152005,700301,668797,2292476,2913314,1288430,1288430,150101,150101,1138329,1138329,1138329,381763,117235,335715,473040,246913,88772,8072464,32209.0,157757.0,504035.0,603800.0,414851.0,237638.0,160182.3
35,Kentucky,4326675,4326675,1748732,1722676,1001825,1056886,3581569,4467673,2006335,2006335,257603,257603,1748732,1748732,1748732,576908,168552,529192,894391,300744,80464,11874332,27448.0,390653.0,1012643.0,879223.0,453040.0,312883.0,191355.5
36,Louisiana,4515876,4515876,1741076,1850579,1084886,1049512,3684053,4648794,2089824,2089824,348748,348748,1741076,1741076,1741076,583424,179953,500969,1010967,317406,48165,11811005,27042.0,440844.0,1066026.0,849056.0,503947.0,280328.0,235947.6
